cohort,surface,lane,design_id,case_id,effort,treatment,repetition,run_id,pair_id,model,objective_success,success_basis,format_pass,human_accepted,status,input_tokens,output_tokens,reasoning_tokens,nonreasoning_tokens,total_tokens,cache_read_tokens,cache_write_tokens,reference_cost_usd,cache_neutral_cost_usd,elapsed_seconds,calls,missing_usage_calls,provider_seconds,first_request_input_tokens,maximum_request_input_tokens,requests_above_272000_input_tokens,known_input_tokens,known_output_tokens,known_total_tokens,known_reference_cost_usd,grading_amendment,review_disputed,full_input_observed,recorded_objective_success,adjudicated,phase_success,physical_attempts,retry_inclusive_input_tokens,retry_inclusive_output_tokens,retry_inclusive_reasoning_tokens,retry_inclusive_nonreasoning_tokens,retry_inclusive_total_tokens,retry_inclusive_cache_read_tokens,retry_inclusive_cache_write_tokens,retry_inclusive_reference_cost_usd,retry_inclusive_cache_neutral_cost_usd,retry_inclusive_elapsed_seconds,retry_inclusive_calls,retry_inclusive_known_reference_cost_usd,tool_calls,public_test_calls
api-v1,Responses API packet,coding,C1,C1,high,no-tools;8192-cap,1,C1-high-r1-sol,C1-high-r1,gpt-5.6-sol,True,objective,True,,completed,282,320,115,205,602,0,0,0.007528,0.007528,4.992113667001831,1,0,4.992113667001831,282,282,0,282,320,602,0.007528,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C1,C1,high,no-tools;8192-cap,1,C1-high-r1-astra,C1-high-r1,astra-early-access,True,objective,True,,completed,282,296,83,213,578,0,0,0.007048,0.007048,6.737021000008099,1,0,6.737021000008099,282,282,0,282,296,578,0.007048,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C2,C2,high,no-tools;8192-cap,1,C2-high-r1-sol,C2-high-r1,gpt-5.6-sol,True,objective,True,,completed,290,284,79,205,574,0,0,0.00684,0.00684,4.060634459005087,1,0,4.060634459005087,290,290,0,290,284,574,0.00684,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C2,C2,high,no-tools;8192-cap,1,C2-high-r1-astra,C2-high-r1,astra-early-access,True,objective,True,,completed,290,393,176,217,683,0,0,0.00902,0.00902,8.875779207999585,1,0,8.875779207999585,290,290,0,290,393,683,0.00902,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C3,C3,high,no-tools;8192-cap,1,C3-high-r1-sol,C3-high-r1,gpt-5.6-sol,True,objective,True,,completed,325,872,431,441,1197,0,0,0.01874,0.01874,11.594467999995686,1,0,11.594467999995686,325,325,0,325,872,1197,0.01874,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C3,C3,high,no-tools;8192-cap,1,C3-high-r1-astra,C3-high-r1,astra-early-access,True,objective,True,,completed,325,935,506,429,1260,0,0,0.02,0.02,19.572594333003508,1,0,19.572594333003508,325,325,0,325,935,1260,0.02,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C3,C3,high,no-tools;8192-cap,2,C3-high-r2-sol,C3-high-r2,gpt-5.6-sol,True,objective,True,,completed,325,890,479,411,1215,0,0,0.0191,0.0191,12.75438541600306,1,0,12.75438541600306,325,325,0,325,890,1215,0.0191,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C3,C3,high,no-tools;8192-cap,2,C3-high-r2-astra,C3-high-r2,astra-early-access,True,objective,True,,completed,325,933,516,417,1258,0,0,0.01996,0.01996,18.7571343749878,1,0,18.7571343749878,325,325,0,325,933,1258,0.01996,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C3,C3,medium,no-tools;8192-cap,1,C3-medium-r1-sol,C3-medium-r1,gpt-5.6-sol,True,objective,True,,completed,325,623,179,444,948,0,0,0.01376,0.01376,8.766767959008575,1,0,8.766767959008575,325,325,0,325,623,948,0.01376,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,coding,C3,C3,medium,no-tools;8192-cap,1,C3-medium-r1-astra,C3-medium-r1,astra-early-access,True,objective,True,,completed,325,630,202,428,955,0,0,0.0139,0.0139,12.884359916992253,1,0,12.884359916992253,325,325,0,325,630,955,0.0139,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D1,D1,high,no-tools;8192-cap,1,D1-high-r1-sol,D1-high-r1,gpt-5.6-sol,True,objective,True,,completed,284,187,88,99,471,0,0,0.004876,0.004876,3.3202600840013474,1,0,3.3202600840013474,284,284,0,284,187,471,0.004876,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D1,D1,high,no-tools;8192-cap,1,D1-high-r1-astra,D1-high-r1,astra-early-access,True,objective,True,,completed,284,185,94,91,469,0,0,0.004836,0.004836,4.808585000006133,1,0,4.808585000006133,284,284,0,284,185,469,0.004836,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D2,D2,high,no-tools;8192-cap,1,D2-high-r1-sol,D2-high-r1,gpt-5.6-sol,True,objective,True,,completed,369,422,167,255,791,0,0,0.009916,0.009916,5.593404750004993,1,0,5.593404750004993,369,369,0,369,422,791,0.009916,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D2,D2,high,no-tools;8192-cap,1,D2-high-r1-astra,D2-high-r1,astra-early-access,True,objective,True,,completed,369,696,476,220,1065,0,0,0.015396,0.015396,14.292473083987716,1,0,14.292473083987716,369,369,0,369,696,1065,0.015396,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D2,D2,medium,no-tools;8192-cap,1,D2-medium-r1-sol,D2-medium-r1,gpt-5.6-sol,True,objective,True,,completed,369,332,86,246,701,0,0,0.008116,0.008116,4.575977000000421,1,0,4.575977000000421,369,369,0,369,332,701,0.008116,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D2,D2,medium,no-tools;8192-cap,1,D2-medium-r1-astra,D2-medium-r1,astra-early-access,True,objective,True,,completed,369,352,135,217,721,0,0,0.008516,0.008516,8.269103166006971,1,0,8.269103166006971,369,369,0,369,352,721,0.008516,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D3,D3,high,no-tools;8192-cap,1,D3-high-r1-sol,D3-high-r1,gpt-5.6-sol,,rubric-not-objective,True,True,completed,567,1584,1034,550,2151,0,0,0.033948,0.033948,23.62305199999537,1,0,23.62305199999537,567,567,0,567,1584,2151,0.033948,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D3,D3,high,no-tools;8192-cap,1,D3-high-r1-astra,D3-high-r1,astra-early-access,,rubric-not-objective,True,True,completed,567,1382,728,654,1949,0,0,0.029908,0.029908,27.28124100000423,1,0,27.28124100000423,567,567,0,567,1382,1949,0.029908,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D3,D3,high,no-tools;8192-cap,2,D3-high-r2-sol,D3-high-r2,gpt-5.6-sol,,rubric-not-objective,True,,completed,567,1354,839,515,1921,0,0,0.029348,0.029348,23.51591462500801,1,0,23.51591462500801,567,567,0,567,1354,1921,0.029348,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,debugging,D3,D3,high,no-tools;8192-cap,2,D3-high-r2-astra,D3-high-r2,astra-early-access,,rubric-not-objective,True,,completed,567,1672,1015,657,2239,0,0,0.035708,0.035708,32.72903870900336,1,0,32.72903870900336,567,567,0,567,1672,2239,0.035708,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F1,F1,high,no-tools;8192-cap,1,F1-high-r1-sol,F1-high-r1,gpt-5.6-sol,True,objective,True,,completed,337,197,80,117,534,0,0,0.005288,0.005288,2.8000810840021586,1,0,2.8000810840021586,337,337,0,337,197,534,0.005288,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F1,F1,high,no-tools;8192-cap,1,F1-high-r1-astra,F1-high-r1,astra-early-access,True,objective,True,,completed,337,401,274,127,738,0,0,0.009368,0.009368,8.514856750000035,1,0,8.514856750000035,337,337,0,337,401,738,0.009368,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F2,F2,high,no-tools;8192-cap,1,F2-high-r1-sol,F2-high-r1,gpt-5.6-sol,,rubric-not-objective,True,True,completed,451,883,395,488,1334,0,0,0.019464,0.019464,17.3534934999916,1,0,17.3534934999916,451,451,0,451,883,1334,0.019464,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F2,F2,high,no-tools;8192-cap,1,F2-high-r1-astra,F2-high-r1,astra-early-access,,rubric-not-objective,True,True,completed,451,1203,514,689,1654,0,0,0.025864,0.025864,23.879384917003335,1,0,23.879384917003335,451,451,0,451,1203,1654,0.025864,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F3,F3,high,no-tools;8192-cap,1,F3-high-r1-sol,F3-high-r1,gpt-5.6-sol,,rubric-not-objective,True,False,completed,695,1566,1034,532,2261,0,0,0.0341,0.0341,23.62611545799882,1,0,23.62611545799882,695,695,0,695,1566,2261,0.0341,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F3,F3,high,no-tools;8192-cap,1,F3-high-r1-astra,F3-high-r1,astra-early-access,,rubric-not-objective,True,True,completed,695,1446,718,728,2141,0,0,0.0317,0.0317,28.607205292006256,1,0,28.607205292006256,695,695,0,695,1446,2141,0.0317,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F3,F3,high,no-tools;8192-cap,2,F3-high-r2-sol,F3-high-r2,gpt-5.6-sol,,rubric-not-objective,True,True,completed,695,1419,898,521,2114,0,0,0.03116,0.03116,21.88356083299732,1,0,21.88356083299732,695,695,0,695,1419,2114,0.03116,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F3,F3,high,no-tools;8192-cap,2,F3-high-r2-astra,F3-high-r2,astra-early-access,,rubric-not-objective,True,True,completed,695,1673,891,782,2368,0,0,0.03624,0.03624,32.7884433750005,1,0,32.7884433750005,695,695,0,695,1673,2368,0.03624,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F3,F3,medium,no-tools;8192-cap,1,F3-medium-r1-sol,F3-medium-r1,gpt-5.6-sol,,rubric-not-objective,True,,completed,695,1194,768,426,1889,0,0,0.02666,0.02666,16.326081416002125,1,0,16.326081416002125,695,695,0,695,1194,1889,0.02666,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,fde,F3,F3,medium,no-tools;8192-cap,1,F3-medium-r1-astra,F3-medium-r1,astra-early-access,,rubric-not-objective,True,,completed,695,941,203,738,1636,0,0,0.0216,0.0216,18.895511833005003,1,0,18.895511833005003,695,695,0,695,941,1636,0.0216,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE000,HE000,high,no-tools;8192-cap,1,HE000-high-r1-sol,HE000-high-r1,gpt-5.6-sol,True,objective,True,,completed,209,225,91,134,434,0,0,0.005336,0.005336,3.5759915000089677,1,0,3.5759915000089677,209,209,0,209,225,434,0.005336,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE000,HE000,high,no-tools;8192-cap,1,HE000-high-r1-astra,HE000-high-r1,astra-early-access,True,objective,True,,completed,209,319,163,156,528,0,0,0.007216,0.007216,6.979746790995705,1,0,6.979746790995705,209,209,0,209,319,528,0.007216,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE012,HE012,high,no-tools;8192-cap,1,HE012-high-r1-sol,HE012-high-r1,gpt-5.6-sol,True,objective,True,,completed,186,137,34,103,323,0,0,0.003484,0.003484,2.4153851669980213,1,0,2.4153851669980213,186,186,0,186,137,323,0.003484,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE012,HE012,high,no-tools;8192-cap,1,HE012-high-r1-astra,HE012-high-r1,astra-early-access,True,objective,True,,completed,186,164,91,73,350,0,0,0.004024,0.004024,4.082197875002748,1,0,4.082197875002748,186,186,0,186,164,350,0.004024,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE026,HE026,high,no-tools;8192-cap,1,HE026-high-r1-sol,HE026-high-r1,gpt-5.6-sol,True,objective,True,,completed,168,151,48,103,319,0,0,0.003692,0.003692,2.392124040998169,1,0,2.392124040998169,168,168,0,168,151,319,0.003692,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE026,HE026,high,no-tools;8192-cap,1,HE026-high-r1-astra,HE026-high-r1,astra-early-access,True,objective,True,,completed,168,224,102,122,392,0,0,0.005152,0.005152,5.260257290996378,1,0,5.260257290996378,168,168,0,168,224,392,0.005152,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE035,HE035,high,no-tools;8192-cap,1,HE035-high-r1-sol,HE035-high-r1,gpt-5.6-sol,True,objective,True,,completed,166,203,70,133,369,0,0,0.004724,0.004724,2.656289457998355,1,0,2.656289457998355,166,166,0,166,203,369,0.004724,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,public_coding,HE035,HE035,high,no-tools;8192-cap,1,HE035-high-r1-astra,HE035-high-r1,astra-early-access,True,objective,True,,completed,166,201,135,66,367,0,0,0.004684,0.004684,4.904739250006969,1,0,4.904739250006969,166,166,0,166,201,367,0.004684,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,accounting,N1,N1,high,no-tools;8192-cap,1,N1-high-r1-sol,N1-high-r1,gpt-5.6-sol,True,objective,True,,completed,414,621,381,240,1035,0,0,0.014076,0.014076,9.58699191598862,1,0,9.58699191598862,414,414,0,414,621,1035,0.014076,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,accounting,N1,N1,high,no-tools;8192-cap,1,N1-high-r1-astra,N1-high-r1,astra-early-access,True,objective,True,,completed,414,614,375,239,1028,0,0,0.013936,0.013936,12.731780874994001,1,0,12.731780874994001,414,414,0,414,614,1028,0.013936,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,accounting,N1,N1,high,no-tools;8192-cap,2,N1-high-r2-sol,N1-high-r2,gpt-5.6-sol,True,objective,True,,completed,414,620,382,238,1034,0,0,0.014056,0.014056,8.397788750007749,1,0,8.397788750007749,414,414,0,414,620,1034,0.014056,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,accounting,N1,N1,high,no-tools;8192-cap,2,N1-high-r2-astra,N1-high-r2,astra-early-access,True,objective,True,,completed,414,433,182,251,847,0,0,0.010316,0.010316,9.45596900000237,1,0,9.45596900000237,414,414,0,414,433,847,0.010316,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,long_context,N2,N2,high,no-tools;8192-cap,1,N2-high-r1-sol,N2-high-r1,gpt-5.6-sol,True,objective,True,,completed,11505,753,516,237,12258,0,11502,0.072582,0.06108,10.151001584003097,1,0,10.151001584003097,11505,11505,0,11505,753,12258,0.072582,,,,,,,,,,,,,,,,,,,,,
